Source Name	Characteristics[cell line]	Characteristics[organism part]	Characteristics[disease]	Characteristics[age]	Characteristics[sex]	Characteristics[ethnicity]
Sample 81	MFM-223	breast	breast ductal adenocarcinoma	not available	female	not available
Sample 82	SK-BR-3	breast	breast adenocarcinoma	43	female	Caucasian
Sample 83	T-47D	breast	breast ductal adenocarcinoma	54	female	not available
Sample 84	UACC-812	breast	breast ductal adenocarcinoma	43	female	not available
Sample 85	ZR-75-1	breast	breast ductal adenocarcinoma	63	not available	Caucasian
Sample 86	ZR-75-30	breast	breast ductal adenocarcinoma	47	female	African
Sample 87	C170	colon	colon carcinoma	not available	not available	not available
Sample 88	Caco-2	colon	colon adenocarcinoma	not available	not available	not available
Sample 89	CL-11	colon	colon carcinoma	not available	not available	not available
Sample 90	CL-34	colon	colon adenocarcinoma	not available	female	not available
Sample 91	CL-40	colon	colon adenocarcinoma	not available	female	not available
Sample 92	COLO 201	colon	colon adenocarcinoma	70	male	Caucasian
Sample 93	COLO 320DM	colon	colon carcinoma	55	female	Caucasian
Sample 94	COLO 741	colon	colon carcinoma	69	not available	not available
Sample 95	COLO 678	colon	colon carcinoma	69	male	not available
Sample 96	CX-1	colon	colon adenocarcinoma	not available	not available	not available
Sample 97	DLD-1	colon	colon adenocarcinoma	not available	male	not available
Sample 98	HCT-15	colon	colon adenocarcinoma	not available	male	not available
Sample 99	HCT-8	ileum	ileum adenocarcinoma	not available	not available	not available
Sample 100	KM-12	colon	colon adenocarcinoma	not available	not available	not available
Sample 101	LoVo	colon	colon adenocarcinoma	56	male	Caucasian
Sample 102	MDST8	colon	colon carcinoma	not available	not available	not available
Sample 103	RKO	colon	colon carcinoma	not available	not available	not available
Sample 104	SK-CO-1	colon	colon adenocarcinoma	65	male	Caucasian
Sample 105	SW 1116	colon	colon adenocarcinoma	not available	not available	not available
Sample 106	SW 403	colon	colon adenocarcinoma	not available	not available	not available
Sample 107	SW 948	colon	colon adenocarcinoma	not available	not available	not available
Sample 108	T84	colon	colon carcinoma	not available	not available	not available
Sample 109	MKN-45	stomach	gastric adenocarcinoma	62	female	not available
Sample 110	Okajima	stomach	gastric adenocarcinoma	not available	not available	not available
Sample 111	A-427	lung	lung carcinoma	52	male	Caucasian
Sample 112	Calu-3	lung	lung adenocarcinoma	25	male	Caucasian
Sample 113	Calu-6	lung	lung anaplastic carcinoma	61	female	Caucasian
Sample 114	EBC-1	lung	non-small cell lung carcinoma	not available	not available	not available
Sample 115	EKVX	lung	non-small cell lung carcinoma	not available	not available	not available
Sample 116	NCI-H1355	lung	lung adenocarcinoma	53	male	Caucasian
Sample 117	NCI-H1373	lung	lung adenocarcinoma	56	male	African
Sample 118	NCI-H1573	lung	lung adenocarcinoma	not available	not available	not available
Sample 119	NCI-H1693	lung	non-small cell lung carcinoma	55	female	Caucasian
Sample 120	NCI-H1792	lung	lung adenocarcinoma	50	male	Caucasian
Sample 121	HCC-15	lung	non-small cell lung carcinoma	48	male	not available
Sample 122	KNS-62	lung	non-small cell lung carcinoma	49	male	not available
Sample 123	NCI-H1048	lung	small cell lung carcinoma	not available	female	not available
Sample 124	NCI-H1435	lung	non-small cell lung carcinoma	35	female	not available
Sample 125	NCI-H1568	lung	non-small cell lung carcinoma	48	female	Caucasian
Sample 126	NCI-H1650	lung	lung adenocarcinoma	27	male	Caucasian
Sample 127	NCI-H1666	lung	lung adenocarcinoma	50	female	Caucasian
Sample 128	NCI-H1793	lung	lung adenocarcinoma	52	female	not available
Sample 129	NCI-H1838	lung	non-small cell lung carcinoma	not available	female	not available
Sample 130	NCI-H1944	lung	non-small cell lung carcinoma	62	female	Caucasian
Sample 131	NCI-H2030	lung	non-small cell lung carcinoma	not available	male	not available
Sample 132	NCI-H2106	lung	non-small cell lung carcinoma	58	male	Caucasian
Sample 133	NCI-H23	lung	non-small cell lung carcinoma	51	male	African
Sample 134	RERF-LC-MS	lung	non-small cell lung carcinoma	not available	not available	not available
Sample 135	SK-MES-1	lung	squamous cell lung carcinoma	65	male	Caucasian
Sample 136	A3/KAW	blood	lymphoma	not available	not available	not available
Sample 137	A4/Fuk	blood	non-Hodgkin's lymphoma	not available	not available	not available
Sample 138	BJAB	lymph node	B-cell lymphoma	not available	not available	not available
Sample 139	CA46	blood	malignant Burkitt's lymphoma	not available	male	not available
Sample 140	CI-1	lymph node	non-Hodgkin's lymphoma	38	female	not available
Sample 141	DB	lymph node	B-cell lymphoma	45	male	Caucasian
Sample 142	DOHH-2	lymph node	B-cell lymphoma	60	male	not available
Sample 143	EB-3	blood	malignant Burkitt's lymphoma	3	male	African
Sample 144	EB1	lymph node	malignant Burkitt's lymphoma	not available	not available	not available
Sample 145	Farage	blood	non-Hodgkin's lymphoma	not available	not available	not available
Sample 146	GA-10	blood	malignant Burkitt's lymphoma	41	male	Caucasian
Sample 147	GRANTA-519	lymph node	B-cell lymphoma	58	female	Caucasian
Sample 148	HS-Sultan	blood	lymphoma	7	male	African
Sample 149	HT	lymph node	diffuse mixed lymphoma	70	male	Caucasian
Sample 150	JEKO-1	lymph node	lymphoma	78	female	not available
Sample 151	Jiyoye	blood	malignant Burkitt's lymphoma	7	male	African
Sample 152	KARPAS-1106P	lymph node	B-cell lymphoma	23	not available	not available
Sample 153	KARPAS-422	blood	non-Hodgkin's lymphoma	not available	not available	not available
Sample 154	MC116	lymph node	lymphoma	not available	not available	not available
Sample 155	MHH-PREB-1	lymph node	B-cell lymphoma	6	male	Caucasian
Sample 156	NAMALWA	blood	malignant Burkitt's lymphoma	not available	not available	not available
Sample 157	NU-DUL-1	blood	B-cell lymphoma	not available	not available	not available
Sample 158	OCI-LY-10	lymph node	B-cell lymphoma	not available	not available	not available
Sample 159	OCI-LY-19	lymph node	B-cell lymphoma	27	female	not available
Sample 160	OCI-LY-3	lymph node	B-cell lymphoma	not available	not available	not available
Sample 161	OCI-LY-7	lymph node	B-cell lymphoma	not available	not available	not available
Sample 162	Pfeiffer	blood	Hodgkin's lymphoma	not available	not available	not available
Sample 163	RAJI	blood	malignant Burkitt's lymphoma	11	male	African
Sample 164	RAMOS	blood	malignant Burkitt's lymphoma	3	male	not available
Sample 165	RC-K8	blood	B-cell lymphoma	not available	not available	not available
Sample 166	REC-1	lymph node	B-cell lymphoma	61	male	not available
Sample 167	RI-1	lymph node	B-cell lymphoma	57	female	not available
Sample 168	RL	lymph node	B-cell lymphoma	52	male	not available
Sample 169	SC-1	lymph node	B-cell lymphoma	67	male	not available
Sample 170	SCC-3	blood	non-Hodgkin's lymphoma	20	not available	not available
Sample 171	SR-786	blood	anaplastic large cell lymphoma	not available	not available	not available
Sample 172	SU-DHL-1	lymph node	non-Hodgkin's lymphoma	10	male	not available
Sample 173	SU-DHL-10	pleura	pleural B-cell lymphoma	not available	male	not available
Sample 174	SU-DHL-16	lymph node	B-cell lymphoma	not available	male	not available
Sample 175	SU-DHL-4	lymph node	B-cell lymphoma	38	male	not available
Sample 176	SU-DHL-5	lymph node	B-cell lymphoma	17	female	not available
Sample 177	SU-DHL-6	lymph node	lymphoma	not available	not available	not available
Sample 178	SU-DHL-8	lymph node	B-cell lymphoma	59	male	not available
Sample 179	TK	blood	lymphoma	not available	not available	not available
Sample 180	TMD8	blood	diffuse large B-cell lymphoma	62	male	not available
Sample 181	Toledo	lymph node	B-cell lymphoma	not available	female	Caucasian
Sample 182	U-698-M	lymph node	B-cell lymphoma	7	male	not available
Sample 183	U-2932	blood	B-cell lymphoma	not available	not available	not available
Sample 184	WSU-DLCL2	lymph node	B-cell lymphoma	41	male	Caucasian
Sample 185	WSU-FSCCL	lymph node	B-cell lymphoma	37	not available	Caucasian
Sample 186	WSU-NHL	blood	B-cell lymphoma	not available	not available	not available
Sample 187	59M	ovary	ovarian carcinoma	not available	female	not available
Sample 188	Caov-3	ovary	ovarian adenocarcinoma	54	female	Caucasian
Sample 189	DOR 13	ovary	ovarian carcinoma	not available	female	not available
Sample 190	EFO-27	ovary	ovarian adenocarcinoma	36	female	not available
Sample 191	ES-2	ovary	ovarian clear cell adenocarcinoma	47	female	African
Sample 192	HEY	ovary	ovarian carcinoma	not available	not available	not available
Sample 193	OAW28	ovary	ovarian serous cystadenocarcinoma	not available	female	not available
Sample 194	OAW42	ovary	ovarian serous cystadenocarcinoma	not available	not available	not available
Sample 195	OV56	ovary	ovarian carcinoma	46	female	not available
Sample 196	OVCA 420	ovary	ovarian carcinoma	not available	female	not available
Sample 197	OvCA 429	ovary	ovarian adenocarcinoma	not available	female	not available
Sample 198	OVCAR-4	ovary	ovarian adenocarcinoma	not available	female	not available
Sample 199	OVCAR-5	ovary	ovarian adenocarcinoma	not available	female	not available
Sample 200	OVCAR-8	ovary	ovarian adenocarcinoma	not available	female	not available
Sample 201	SK-OV-3	ovary	ovarian adenocarcinoma	not available	female	Caucasian
Sample 202	TOV-112D	ovary	endometrioid adenocarcinoma	42	female	Caucasian
Sample 203	AsPC-1	pancreas	pancreatic adenocarcinoma	62	female	Caucasian
Sample 204	Capan-1	pancreas	pancreatic adenocarcinoma	40	male	Caucasian
Sample 205	Capan-2	pancreas	pancreatic adenocarcinoma	56	male	Caucasian
Sample 206	CFPAC-1	pancreas	pancreatic ductal adenocarcinoma	not available	male	Caucasian
Sample 207	HPAC	pancreas	pancreatic adenocarcinoma	64	female	Caucasian
Sample 208	HPAF-II	pancreas	pancreatic adenocarcinoma	not available	male	Caucasian
Sample 209	Hs 766T	pancreas	pancreatic carcinoma	46	male	Caucasian
Sample 210	HUP-T3	pancreas	pancreatic adenocarcinoma	66	male	Japanese
Sample 211	KP4	pancreas	pancreatic in situ ductal carcinoma	50	male	not available
Sample 212	MIA Paca-2	pancreas	pancreatic carcinoma	65	male	Caucasian
Sample 213	Panc 02.03	pancreas	pancreatic adenocarcinoma	70	female	Caucasian
Sample 214	Panc 03.27	pancreas	pancreatic adenocarcinoma	65	female	Caucasian
Sample 215	Panc 04.03	pancreas	pancreatic adenocarcinoma	70	male	Caucasian
Sample 216	Panc 05.04	pancreas	pancreatic adenocarcinoma	77	female	Caucasian
Sample 217	Panc 08.13	pancreas	pancreatic adenocarcinoma	85	male	Caucasian
Sample 218	PANC-1	pancreas	pancreatic adenocarcinoma	56	male	Caucasian
Sample 219	PA-TU-8902	pancreas	pancreatic adenocarcinoma	not available	not available	not available
Sample 220	PA-TU-8988T	pancreas	pancreatic adenocarcinoma	64	female	not available
Sample 221	PL45	pancreas	pancreatic ductal adenocarcinoma	not available	male	Caucasian
Sample 222	PSN1	pancreas	pancreatic adenocarcinoma	not available	not available	not available
Sample 223	SU.86.86	pancreas	pancreatic ductal adenocarcinoma	57	female	Caucasian
Sample 224	SW 1990	pancreas	pancreatic adenocarcinoma	56	male	Caucasian
Sample 225	501A	skin	melanoma	not available	not available	not available
Sample 226	537 MEL	skin	melanoma	not available	not available	not available
Sample 227	624 mel	skin	melanoma	not available	not available	not available
Sample 228	888	skin	melanoma	not available	not available	not available
Sample 229	928 mel	skin	melanoma	not available	not available	not available
Sample 230	A2058	skin	melanoma	43	male	Caucasian
Sample 231	C32	skin	melanoma	53	male	Caucasian
Sample 232	COLO 829	skin	melanoma	45	male	Caucasian
Sample 233	G-361	skin	melanoma	31	male	Caucasian
Sample 234	Hs 69ST	skin	melanoma	not available	not available	not available
Sample 235	Hs 940.T	skin	melanoma	not available	not available	not available
Sample 236	HT-144	skin	melanoma	not available	not available	not available
Sample 237	MDA-MB-435	skin	melanoma	not available	not available	not available
Sample 238	RPMI-7951	skin	melanoma	18	not available	Caucasian
Sample 239	SK-MEL-28	skin	melanoma	51	male	not available
Sample 240	SK-MEL-2	skin	melanoma	60	male	Caucasian
Sample 241	SK-MEL-5	skin	melanoma	not available	not available	not available
Sample 242	UACC-257	skin	melanoma	not available	not available	not available
Sample 243	CHL-1	skin	melanoma	not available	not available	not available
Sample 244	NCI-H1770	lung	non-small cell lung carcinoma	57	not available	Caucasian
Sample 245	OVCAR433	ovary	ovarian carcinoma	not available	female	not available
Sample 246	PL-21	blood	leukemia	24	male	not available
Sample 247	U-2 OS	bone	osteosarcoma	15	female	Caucasian
Sample 248	AMO-1	blood	plasmacytoma	not available	not available	not available
Sample 249	EJM	blood	multiple myeloma	58	female	not available
Sample 250	JJN-3	blood	leukemia	not available	not available	not available
Sample 251	KMM-1	blood	multiple myeloma	62	male	Japanese
Sample 252	KMS-11	blood	multiple myeloma	not available	not available	not available
Sample 253	KMS-12-BM	blood	multiple myeloma	64	female	not available
Sample 254	KMS-12-PE	bone marrow	multiple myeloma	64	female	not available
Sample 255	KMS-21BM	blood	multiple myeloma	62	male	Japanese
Sample 256	KMS-27	blood	multiple myeloma	52	male	Japanese
Sample 257	KMS-28BM	blood	multiple myeloma	77	female	Japanese
Sample 258	KMS-28PE	blood	multiple myeloma	77	female	Japanese
Sample 259	KMS-34	blood	multiple myeloma	60	female	Japanese
Sample 260	L-363	blood	leukemia	not available	not available	not available
Sample 261	LP-1	blood	multiple myeloma	56	female	not available
Sample 262	MM.1S	blood	multiple myeloma	42	female	African
Sample 263	MOLP-8	blood	multiple myeloma	52	male	Japanese
Sample 264	NCI-H929	bone marrow	multiple myeloma	not available	not available	not available
Sample 265	OPM-2	blood	multiple myeloma	56	female	not available
Sample 266	RPMI 8226	blood	multiple myeloma	not available	not available	not available
Sample 267	U266B1	blood	multiple myeloma	not available	not available	not available
Sample 268	A549	lung	lung carcinoma	58	male	Caucasian
Sample 269	ABC-1	lung	lung adenocarcinoma	not available	not available	not available
Sample 270	H322T	lung	non-small cell lung carcinoma	not available	not available	not available
Sample 271	HCC2279	lung	lung adenocarcinoma	52	female	not available
Sample 272	HCC2935	lung	lung adenocarcinoma	39	male	Caucasian
Sample 273	HCC4006	lung	lung adenocarcinoma	50	male	Caucasian
Sample 274	HCC4011	lung	lung adenocarcinoma	53	male	Caucasian
Sample 275	HCC827	lung	lung adenocarcinoma	not available	female	Caucasian
Sample 276	HOP-62	lung	non-small cell lung carcinoma	not available	not available	not available
Sample 277	HOP-92	lung	large cell lung carcinoma	not available	not available	not available
Sample 278	NCI-H1155	lung	non-small cell lung carcinoma	36	male	Caucasian
Sample 279	NCI-H1299	lung	non-small cell lung carcinoma	43	male	Caucasian
Sample 280	NCI-H1703	lung	non-small cell lung carcinoma	54	male	Caucasian
Sample 281	NCI-H1781	lung	lung adenocarcinoma	66	female	Caucasian
Sample 282	NCI-H1975	lung	lung adenocarcinoma	not available	female	not available
Sample 283	NCI-H2009	lung	lung adenocarcinoma	68	not available	Caucasian
Sample 284	NCI-H2073	lung	lung adenocarcinoma	47	female	Caucasian
Sample 285	NCI-H2122	lung	non-small cell lung carcinoma	46	female	Caucasian
Sample 286	NCI-H2126	lung	non-small cell lung carcinoma	65	male	Caucasian
Sample 287	NCI-H2228	lung	non-small cell lung carcinoma	not available	female	not available
Sample 288	NCI-H226	lung	mesothelioma	not available	male	not available
Sample 289	NCI-H292	lung	lung mucoepidermoid carcinoma	32	female	African
Sample 290	NCI-H358	lung	non-small cell lung carcinoma	not available	not available	not available
Sample 291	NCI-H441	lung	lung papillary adenocarcinoma	not available	male	not available
Sample 292	NCI-H460	lung	large cell lung carcinoma	not available	male	not available
Sample 293	NCI-H520	lung	squamous cell lung carcinoma	not available	male	not available
Sample 294	KARPAS-620	blood	leukemia	77	female	not available
Sample 295	NCI-H522	lung	non-small cell lung carcinoma	58	male	Caucasian
Sample 296	NCI-H596	lung	lung adenosquamous carcinoma	73	male	Caucasian
Sample 297	NCI-H650	lung	non-small cell lung carcinoma	not available	male	not available
Sample 298	RERF-LC-KJ	lung	lung adenocarcinoma	78	male	not available
Sample 299	RERF-LC-OK	lung	lung adenocarcinoma	not available	not available	not available
Sample 300	SW 1573	lung	bronchoalveolar adenocarcinoma	44	female	Caucasian
Sample 301	VMRC-LCD	lung	lung adenocarcinoma	not available	male	not available
Sample 302	CAL51	breast	breast adenocarcinoma	45	female	not available
Sample 303	EFM-192B	breast	breast adenocarcinoma	46	female	Caucasian
Sample 304	HBL-100	breast	normal at the time of derivation	27	female	Caucasian
Sample 305	HCC2688	breast	breast ductal adenocarcinoma	not available	female	not available
Sample 306	HCC2911	breast	breast carcinoma	not available	not available	not available
Sample 307	MCF10DCIS.com	breast	breast ductal carcinoma in situ	not available	not available	not available
Sample 308	MDA-MB-134-VI	breast	breast carcinoma	47	female	Caucasian
Sample 309	MDA-MB-175-VII	breast	breast ductal adenocarcinoma	56	female	African
Sample 310	MDA-MB-361	breast	breast adenocarcinoma	not available	not available	not available
Sample 311	MDA-MB-468	breast	breast adenocarcinoma	51	female	African
Sample 312	MX-1	breast	breast carcinoma	not available	not available	not available
Sample 313	SUM 1315M02	breast	breast ductal adenocarcinoma	not available	not available	not available
Sample 314	SUM 149PT	breast	breast ductal adenocarcinoma	not available	female	not available
Sample 315	SUM 229PE	breast	breast carcinoma	not available	female	not available
Sample 316	SUM 159PT	breast	breast anaplastic carcinoma	not available	female	not available
Sample 317	YMB-1	breast	breast carcinoma	55	female	not available
Sample 318	BxPC-3	pancreas	pancreatic adenocarcinoma	61	female	not available
Sample 319	DAN-G	pancreas	pancreatic adenocarcinoma	not available	not available	not available
Sample 320	HUP-T4	pancreas	pancreatic carcinoma	60	male	Japanese
Sample 321	KCI-MOH1	pancreas	pancreatic adenocarcinoma	74	male	African
Sample 322	KLM-1	pancreas	pancreatic carcinoma	not available	not available	not available
Sample 323	KP-2	pancreas	pancreatic carcinoma	not available	not available	not available
Sample 324	KP-3	pancreas	pancreatic adenosquamous carcinoma	75	male	Japanese
Sample 325	PA-TU-8988S	pancreas	pancreatic adenocarcinoma	64	female	not available
Sample 326	PK-45H	pancreas	pancreatic carcinoma	not available	not available	not available
Sample 327	PK-45P	pancreas	pancreatic carcinoma	not available	not available	not available
Sample 328	PK-59	pancreas	pancreatic carcinoma	not available	not available	not available
Sample 329	QGP-1	pancreas	pancreatic islet cell carcinoma	not available	not available	not available
Sample 330	SUIT-2	pancreas	pancreatic tubular adenocarcinoma	73	male	Japanese
Sample 331	TCC-PAN2	pancreas	pancreatic carcinoma	68	female	Japanese
Sample 332	YAPC	pancreas	pancreatic carcinoma	43	male	Japanese
Sample 333	U-937	blood	diffuse large B-cell lymphoma	37	male	Caucasian
Sample 334	MG-63	bone	osteosarcoma	14	male	Caucasian
Sample 335	TC-71	bone	Ewing's sarcoma	22	male	not available
Sample 336	CHP-212	brain	neuroblastoma	not available	not available	not available
Sample 337	G111	brain	glioma	not available	not available	not available
Sample 338	G112	brain	glioma	not available	not available	not available
Sample 339	G118	brain	glioma	not available	not available	not available
Sample 340	G120	brain	glioma	not available	not available	not available
Sample 341	G121	brain	glioma	not available	not available	not available
Sample 342	G122	brain	glioma	not available	not available	not available
Sample 343	G124	brain	glioma	not available	not available	not available
Sample 344	G130	brain	glioma	not available	not available	not available
Sample 345	G140	brain	glioma	not available	not available	not available
Sample 346	G142	brain	glioma	not available	not available	not available
Sample 347	G22	brain	glioma	not available	not available	not available
Sample 348	G28T	brain	glioma	not available	not available	not available
Sample 349	G44	brain	glioma	not available	not available	not available
Sample 350	G59	brain	glioma	not available	not available	not available
Sample 351	G61	brain	glioma	not available	not available	not available
Sample 352	G84	brain	glioma	not available	not available	not available
Sample 353	G96	brain	glioma	not available	not available	not available
Sample 354	SF268	brain	glioma	not available	not available	not available
Sample 355	SF539	brain	glioma	not available	not available	not available
Sample 356	HCC2157	breast	breast ductal adenocarcinoma	48	female	African
Sample 357	SW 982	breast	breast synovial sarcoma	25	female	Caucasian
Sample 358	Ca Ski	cervix	cervical carcinoma	not available	not available	not available
Sample 359	SiHa	cervix	cervical squamous cell carcinoma	not available	not available	not available
Sample 360	COLO 205	colon	colon adenocarcinoma	70	male	Caucasian
Sample 361	COLO 206F	colon	colon adenocarcinoma	70	male	not available
Sample 362	HCT 116	colon	colon carcinoma	not available	male	not available
Sample 363	HM7	colon	colon adenocarcinoma	not available	not available	not available
Sample 364	LS 174T	colon	colon adenocarcinoma	not available	not available	not available
Sample 365	SW 1463	colon	colon adenocarcinoma	66	female	Caucasian
Sample 366	SW 48	colon	colon adenocarcinoma	82	female	Caucasian
Sample 367	SW 480	colon	colon adenocarcinoma	50	male	Caucasian
Sample 368	A-673	skeletal muscle	rhabdomyosarcoma	15	female	not available
Sample 369	BICR 10	oral cavity	oral cavity squamous cell carcinoma	not available	not available	not available
Sample 370	Detroit 562	nasal pharynx	nasopharyngeal carcinoma	not available	female	Caucasian
Sample 371	SW 780	urinary bladder	urinary bladder transitional cell carcinoma	80	female	Caucasian
Sample 372	769-P	kidney	renal adenocarcinoma	63	female	Caucasian
Sample 373	786-O	kidney	renal adenocarcinoma	58	male	Caucasian
Sample 374	Caki-2	kidney	renal carcinoma	69	male	Caucasian
Sample 375	TK-10	kidney	renal carcinoma	46	male	not available
Sample 376	HuH-7	liver	hepatocellular carcinoma	57	male	Japanese
Sample 377	JHH-2	liver	hepatocellular carcinoma	not available	not available	not available
Sample 378	JHH-7	liver	hepatocellular carcinoma	not available	not available	not available
Sample 379	SNU-398	liver	hepatocellular carcinoma	not available	not available	not available
Sample 380	SNU-423	liver	hepatocellular carcinoma	not available	not available	not available
Sample 381	HCC1171	lung	non-small cell lung carcinoma	not available	not available	not available
Sample 382	HCC4017	lung	large cell lung carcinoma	not available	not available	not available
Sample 383	HCC515	lung	lung adenocarcinoma	not available	not available	not available
Sample 384	HT-1080	lung	lung fibrosarcoma	35	male	Caucasian
Sample 385	NCI-H1437	lung	non-small cell lung carcinoma	60	male	Caucasian
Sample 386	NCI-H322T	lung	non-small cell lung carcinoma	not available	not available	not available
Sample 387	NCI-H727	lung	lung carcinoid tumor	65	female	Caucasian
Sample 388	NCI-H82	lung	small cell lung carcinoma	40	not available	Caucasian
Sample 389	NCI-N417	lung	small cell lung carcinoma	not available	not available	not available
Sample 390	SR	lymph node	immunoblastic large cell lymphoma	11	male	not available
Sample 391	COLO-704	ovary	ovarian adenocarcinoma	46	female	Caucasian
