gene_name	gene_id
KIAA1328	57536
LOC100506821	100506821
CELF4	56853
LOC100506837	100506837
MIR4318	100422857
LOC647946	647946
MIR924	100126323
LOC100506854	100506854
KC6	641516
PIK3C3	5289
RIT2	6014
SYT4	6860
SETBP1	26040
MIR4319	100422829
SLC14A2	8170
LOC100652778	100652778
LOC100653291	100653291
SLC14A1	6563
SIGLEC15	284266
EPG5	57724
PSTPIP2	9050
ATP5A1	498
HAUS1	115106
C18orf25	147339
RNF165	494470
RNF165-IT1	147341
LOXHD1	125336
ST8SIA5	29906
PIAS2	9063
LOC100509075	100509075
KATNAL2	83473
LOC100506888	100506888
TCEB3CL	728929
TCEB3C	162699
TCEB3B	51224
HDHD2	84064
IER3IP1	51124
SKOR2	652991
MIR4527	100616264
SMAD2	4087
ZBTB7C	201501
LOC100127909	100127909
C18orf12	84322
CTIF	9811
MIR4743	100616366
SMAD7	4092
LOC100652797	100652797
LOC100653256	100653256
DYM	54808
MIR4744	100616420
C18orf32	497661
RPL17-C18ORF32	100526842
MIR1539	100302257
RPL17	6139
SNORD58C	100124516
SNORD58A	26791
SNORD58B	26790
LIPG	9388
ACAA2	10449
SCARNA17	677769
MYO5B	4645
MIR4320	100422865
CCDC11	220136
MBD1	4152
CXXC1	30827
SKA1	220134
MAPK4	5596
MRO	83876
ME2	4200
ELAC1	55520
SMAD4	4089
MEX3C	51320
LOC100287225	100287225
DCC	1630
MBD2	8932
SNORA37	677819
POLI	11201
STARD6	147323
C18orf54	162681
C18orf26	284254
RAB27B	5874
CCDC68	80323
TCF4	6925
MIR4529	100616290
LOC100132501	100132501
LOC100505474	100505474
TXNL1	9352
WDR7	23335
LOC100505529	100505529
BOD1P	284257
ST8SIA3	51046
ONECUT2	9480
FECH	2235
NARS	4677
LOC100505549	100505549
ATP8B1	5205
NEDD4L	23327
MIR122	406906
MIR3591	100616357
ALPK2	115701
MALT1	10892
ZNF532	55205
LOC390858	390858
SEC11C	90701
GRP	2922
RAX	30062
CPLX4	339302
LMAN1	3998
CCBE1	147372
PMAIP1	5366
MC4R	4160
LOC100505626	100505626
CDH20	28316
LOC100130938	100130938
RNF152	220441
PIGN	23556
KIAA1468	57614
TNFRSF11A	8792
ZCCHC2	54877
LOC100505657	100505657
PHLPP1	23239
BCL2	596
KDSR	2531
VPS4B	9525
LOC100652895	100652895
LOC100653077	100653077
SERPINB5	5268
SERPINB12	89777
SERPINB13	5275
SERPINB4	6318
SERPINB3	6317
SERPINB11	89778
SERPINB7	8710
SERPINB2	5055
SERPINB10	5273
HMSD	284293
SERPINB8	5271
LINC00305	221241
LOC284294	284294
LOC400654	400654
CDH7	1005
CDH19	28513
DSEL	92126
LOC643542	643542
TMX3	54495
CCDC102B	79839
LOC100505756	100505756
DOK6	220164
CD226	10666
RTTN	25914
SOCS6	9306
LOC100509315	100509315
LOC100505776	100505776
CBLN2	147381
NETO1	81832
LOC100505797	100505797
LOC400655	400655
LOC100505817	100505817
FBXO15	201456
TIMM21	29090
CYB5A	1528
C18orf63	644041
FAM69C	125704
LOC100505838	100505838
CNDP2	55748
CNDP1	84735
LOC400657	400657
ZNF407	55628
ZADH2	284273
LOC100652904	100652904
LOC100653142	100653142
TSHZ1	10194
C18orf62	284274
LOC100505853	100505853
LOC339298	339298
ZNF516	9658
FLJ44313	400658
LOC284276	284276
FLJ44881	400661
LOC100131655	100131655
ZNF236	7776
MBP	4155
LOC100653150	100653150
LOC100652917	100652917
GALR1	2587
LOC645321	645321
SALL3	27164
ATP9B	374868
NFATC1	4772
CTDP1	9150
KCNG2	26251
PQLC1	80148
HSBP1L1	440498
TXNL4A	10907
RBFA	79863
LOC100506070	100506070
ADNP2	22850
LOC100130522	100130522
PARD6G	84552
LOC100506089	100506089
TUBB8	347688
ZMYND11	10771
DIP2C	22982
C10orf108	414235
LARP4B	23185
LOC100288619	100288619
GTPBP4	23560
IDI2	91734
IDI2-AS1	55853
IDI1	3422
WDR37	22884
LINC00200	399706
ADARB2	105
ADARB2-AS1	642394
LOC282980	282980
LOC399708	399708
PFKP	5214
PITRM1	10531
LOC100507034	100507034
KLF6	1316
LOC100653264	100653264
LOC100652988	100652988
LOC100507059	100507059
LOC100128356	100128356
LOC100216001	100216001
LOC338588	338588
AKR1E2	83592
tAKR	389932
AKR1C1	1645
AKR1C2	1646
LOC100653286	100653286
AKR1C3	8644
AKR1CL1	340811
AKR1C4	1109
UCN3	114131
TUBAL3	79861
NET1	10276
CALML5	51806
CALML3	810
ASB13	79754
FAM208B	54906
GDI2	2665
ANKRD16	54522
FBXO18	84893
IL15RA	3601
IL2RA	3559
RBM17	84991
PFKFB3	5209
MIR3155A	100422989
MIR3155B	100628560
LOC399715	399715
DKFZp667F0711	399716
PRKCQ	5588
LOC439949	439949
LOC100652997	100652997
LOC100653199	100653199
LOC100507127	100507127
SFMBT2	57713
ITIH5	80760
ITIH2	3698
KIN	22944
ATP5C1	509
TAF3	83860
FLJ45983	399717
GATA3	2625
LOC100507143	100507143
LOC100507163	100507163
SFTA1P	207107
LOC254312	254312
CELF2	10659
C10orf31	414196
USP6NL	9712
LOC100507213	100507213
LOC100507228	100507228
ECHDC3	79746
C10orf47	254427
LOC219731	219731
UPF2	26019
DHTKD1	55526
SEC61A2	55176
MIR548AK	100616488
NUDT5	11164
CDC123	8872
CAMK1D	57118
MIR4480	100616151
MIR4481	100616320
MIR548Q	100313841
LOC283070	283070
CCDC3	83643
OPTN	10133
MCM10	55388
RNU6-2	26826
UCMA	221044
PHYH	5264
SEPHS1	22929
BEND7	222389
PRPF18	8559
FRMD4A	55691
MIR4293	100422843
MIR1265	100302116
FAM107B	83641
LOC100507309	100507309
CDNF	441549
HSPA14	51182
SUV39H2	79723
DCLRE1C	64421
MEIG1	644890
LOC100289151	100289151
OLAH	55301
ACBD7	414149
C10orf111	221060
RPP38	10557
NMT2	9397
LOC100192204	100192204
FAM171A1	221061
ITGA8	8516
FAM188A	80013
PTER	9317
C1QL3	389941
RSU1	6251
CUBN	8029
TRDMT1	1787
LOC100507347	100507347
VIM	7431
LOC100652935	100652935
LOC100653167	100653167
ST8SIA6	338596
LOC100128098	100128098
PTPLA	9200
STAM	8027
TMEM236	653567
MIR511-1	574445
MRC1	4360
MIR511-2	574446
SLC39A12	221074
LOC100129213	100129213
CACNB2	783
NSUN6	221078
ARL5B	221079
LOC100652979	100652979
LOC100653216	100653216
C10orf112	340895
PLXDC2	84898
LOC100509635	100509635
MIR4675	100616383
NEBL	10529
C10orf113	387638
LOC100128511	100128511
RNU6-15	100302741
C10orf114	399726
MIR1915	100302129
C10orf140	387640
MLLT10	8028
LOC100507430	100507430
DNAJC1	64215
LOC100507445	100507445
EBLN1	340900
LOC100130992	100130992
COMMD3	23412
COMMD3-BMI1	100532731
BMI1	648
SPAG6	9576
LOC100499489	100499489
LOC100289455	100289455
PIP4K2A	5305
ARMC3	219681
MSRB2	22921
PTF1A	256297
C10orf67	256815
MIR1254-2	100616217
OTUD1	220213
KIAA1217	56243
PRINS	100169750
MIR603	693188
ARHGAP21	57584
PRTFDC1	56952
ENKUR	219670
THNSL1	79896
LOC100128811	100128811
GPR158	57512
LOC100507531	100507531
MYO3A	53904
GAD2	2572
APBB1IP	54518
LINC00264	645528
LOC731789	731789
PDSS1	23590
ABI1	10006
LINC00202	387644
ANKRD26	22852
YME1L1	10730
MASTL	84930
ACBD5	91452
LOC387646	387646
PTCHD3	374308
RAB18	22931
MKX	283078
ARMC4	55130
MPP7	143098
LOC220906	220906
WAC	51322
BAMBI	25805
LOC100507605	100507605
LYZL1	84569
LOC387647	387647
SVIL	6840
MIR604	693189
MIR938	100126327
KIAA1462	57608
MTPAP	55149
LOC729668	729668
MAP3K8	1326
LYZL2	119180
LOC645954	645954
ZNF438	220929
LOC100507663	100507663
LOC100505485	100505485
ZEB1-AS1	220930
ZEB1	6935
LOC100505502	100505502
ARHGAP12	94134
LOC100653181	100653181
LOC100652968	100652968
KIF5B	3799
LOC100652971	100652971
LOC100653170	100653170
EPC1	80314
CCDC7	221016
C10orf68	79741
ITGB1	3688
LOC100505562	100505562
NRP1	8829
LOC100505583	100505583
PARD3	56288
LOC100505601	100505601
CUL2	8453
MIR3611	100500890
CREM	1390
CCNY	219771
GJD4	219770
FZD8	8325
MIR4683	100616500
ANKRD30A	91074
MTRNR2L7	100288485
ZNF248	57209
ZNF25	219749
ZNF33A	7581
ZNF37A	7587
LOC100129055	100129055
HSD17B7P2	158160
SEPT7L	285961
LOC399744	399744
ACTR3BP5	399746
LOC642424	642424
LOC441666	441666
CCNYL2	414194
LOC84856	84856
ZNF37BP	100129482
ZNF33B	7582
LOC100505906	100505906
BMS1	9790
RET	5979
CSGALNACT2	55454
RASGEF1A	221002
FXYD4	53828
HNRNPF	3185
ZNF487P	642819
LOC100653080	100653080
ZNF239	8187
ZNF485	220992
ZNF32-AS3	414201
ZNF32	7580
HNRNPA3P1	10151
C10orf136	414260
LOC100506835	100506835
LOC283033	283033
LOC100506853	100506853
LOC100130539	100130539
CXCL12	6387
TMEM72-AS1	220980
TMEM72	643236
RASSF4	83937
C10orf10	11067
LOC100506913	100506913
C10orf25	220979
ZNF22	7570
LOC100133308	100133308
LOC338579	338579
MIR3156-1	100422988
OR13A1	79290
ALOX5	240
MARCH8	220972
ZFAND4	93550
FAM21C	253725
AGAP4	119016
PTPN20A	653129
BMS1P1	728053
FAM35B	414241
LOC100653311	100653311
LOC100507539	100507539
SYT15	83849
GPRIN2	9721
PPYR1	5540
LOC643650	643650
LOC728643	728643
ANXA8L1	728113
FAM25B	100132929
AGAP10	728127
FAM35B2	439965
ANTXRL	195977
FAM25HP	414155
ANXA8L2	244
LOC100652762	100652762
FAM21B	55747
CTSL1P2	1517
LOC642826	642826
AGAP9	642517
FAM25G	100133093
ANXA8	653145
ZNF488	118738
RBP3	5949
GDF2	2658
GDF10	2662
PTPN20B	26095
FRMPD2P1	728798
BMS1P5	399761
FAM25C	644054
LOC399753	399753
FRMPD2	143162
MAPK8	5599
ARHGAP22	58504
WDFY4	57705
LRRC18	474354
MIR4294	100422895
VSTM4	196740
LOC100506733	100506733
FAM170B	170370
C10orf128	170371
LOC100506769	100506769
C10orf71	118461
DRGX	644168
ERCC6	2074
PGBD3	267004
CHAT	1103
SLC18A3	6572
C10orf53	282966
OGDHL	55753
PARG	8505
AGAP8	728404
LOC728407	728407
TIMM23B	653252
AGAP7	653268
MSMB	4477
NCOA4	8031
TIMM23	100287932
LOC100506785	100506785
LOC100652748	100652748
AGAP6	414189
FLJ31813	326332
FAM21A	387680
ASAH2	56624
SGMS1	259230
ASAH2B	653308
A1CF	29974
PRKG1	5592
MIR605	693190
CSTF2T	23283
LOC100506939	100506939
DKK1	22943
MBL2	4153
PCDH15	65217
MIR548F1	100302192
MTRNR2L5	100463289
ZWINT	11130
MIR3924	100500834
IPMK	253430
CISD1	55847
UBE2D1	7321
TFAM	7019
BICC1	80114
LOC728640	728640
LOC100507008	100507008
PHYHIPL	84457
FAM13C	220965
SLC16A9	220963
M1	100507027
CCDC6	8030
C10orf40	283025
ANK3	288
CDK1	983
RHOBTB1	9886
LOC100507058	100507058
TMEM26	219623
C10orf107	219621
ARID5B	84159
RTKN2	219790
ZNF365	22891
ADO	84890
EGR2	1959
NRBF2	29982
JMJD1C	221037
MIR1296	100302150
LOC84989	84989
REEP3	221035
ANXA2P3	305
CTNNA3	29119
LRRTM3	347731
DNAJC12	56521
SIRT1	23411
HERC4	26091
MYPN	84665
ATOH7	220202
PBLD	64081
HNRNPH3	3189
RUFY2	55680
DNA2	1763
SLC25A16	8034
TET1	80312
CCAR1	55749
SNORD98	692211
MIR1254-1	100302273
STOX1	219736
DDX50	79009
DDX21	9188
KIAA1279	26128
SRGN	5552
VPS26A	9559
SUPV3L1	6832
HKDC1	80201
HK1	3098
TACR2	6865
TSPAN15	23555
NEUROG3	50674
C10orf35	219738
COL13A1	1305
H2AFY2	55506
AIFM2	84883
TYSND1	219743
SAR1A	56681
PPA1	5464
NPFFR1	64106
LRRC20	55222
EIF4EBP2	1979
NODAL	4838
KIAA1274	27143
PRF1	5551
ADAMTS14	140766
C10orf27	219793
SGPL1	8879
PCBD1	5092
UNC5B	219699
LOC728978	728978
SLC29A3	55315
CDH23	64072
LOC100653137	100653137
C10orf105	414152
C10orf54	64115
PSAP	5660
CHST3	9469
SPOCK2	9806
ASCC1	51008
ANAPC16	119504
LOC100507196	100507196
DDIT4	54541
DNAJB12	54788
MICU1	10367
MCU	90550
MIR4676	100616286
OIT3	170392
PLA2G12B	84647
P4HA1	5033
NUDT13	25961
ECD	11319
FAM149B1	317662
DNAJC9	23234
C10orf103	414245
MRPS16	51021
LOC100652993	100652993
LOC100653136	100653136
LOC100507212	100507212
TTC18	118491
ANXA7	310
ZMYND17	118490
PPP3CB	5532
LOC100507259	100507259
USP54	159195
MYOZ1	58529
SYNPO2L	79933
AGAP5	729092
BMS1P4	729096
LOC100507280	100507280
SEC24C	9632
FUT11	170384
LOC100653003	100653003
LOC100653130	100653130
CHCHD1	118487
KIAA0913	23053
LOC100507331	100507331
NDST2	8509
CAMK2G	818
C10orf55	414236
PLAU	5328
VCL	7414
AP3M1	26985
ADK	132
KAT6B	23522
DUPD1	338599
DUSP13	51207
SAMD8	142891
VDAC2	7417
COMTD1	118881
ZNF503-AS1	253264
ZNF503	84858
ZNF503-AS2	100131213
MIR606	693191
C10orf11	83938
KCNMA1	3778
DLG5	9231
LOC100131132	100131132
LOC100128292	100128292
POLR3A	11128
RPS24	6229
LOC100132987	100132987
LOC283050	283050
ZMIZ1	57178
PPIF	10105
ZCCHC24	219654
LOC729815	729815
EIF5AL1	143244
SFTPA2	729238
SFTPA1	653509
LOC650623	650623
LOC642361	642361
LOC100288974	100288974
MBL1P	8512
SFTPD	6441
LOC219347	219347
FAM213A	80195
PLAC9	219348
ANXA11	311
LOC439990	439990
LOC100130698	100130698
MAT1A	4143
DYDC1	143241
DYDC2	84332
C10orf58	84293
TSPAN14	81619
SH2D4B	387694
NRG3	10718
GHITM	27069
C10orf99	387695
CDHR1	92211
LRIT2	340745
LRIT1	26103
RGR	5995
LOC170425	170425
FAM190B	54462
LOC100507470	100507470
GRID1	2894
MIR346	442911
WAPAL	23063
OPN4	94233
LDB3	11155
BMPR1A	657
MMRN2	79812
SNCG	6623
LOC100133190	100133190
C10orf116	10974
AGAP11	119385
FAM25A	643161
GLUD1	2746
FAM35A	54537
FAM22A	728118
LOC728190	728190
LOC439994	439994
FAM22D	728130
MIR4678	100616296
MINPP1	9562
PAPSS2	9060
ATAD1	84896
CFL1P1	142913
KLLN	100144748
PTEN	5728
RNLS	55328
LIPJ	142910
LIPF	8513
LIPK	643414
LIPN	643418
LIPM	340654
ANKRD22	118932
STAMBPL1	57559
ACTA2	59
FAS	355
FAS-AS1	100302740
MIR4679-2	100616192
MIR4679-1	100616128
CH25H	9023
LIPA	3988
IFIT2	3433
IFIT3	3437
LOC100507575	100507575
IFIT1B	439996
IFIT1	3434
IFIT5	24138
SLC16A12	387700
LOC100507596	100507596
PANK1	53354
MIR107	406901
FLJ37201	283011
KIF20B	9585
LOC643529	643529
HTR7	3363
RPP30	10556
ANKRD1	27063
NUDT9P1	119369
PCGF5	84333
LOC100188947	100188947
HECTD2	143279
PPP1R3C	5507
LOC100507633	100507633
TNKS2	80351
FGFBP3	143282
BTAF1	9044
CPEB3	22849
MARCH5	54708
MARK2P9	100507674
IDE	3416
KIF11	3832
HHEX	3087
EXOC6	54536
CYP26C1	340665
CYP26A1	1592
MYOF	26509
CEP55	55165
O3FAR1	338557
RBP4	5950
PDE6C	5146
FRA10AC1	118924
LGI1	9211
SLC35G1	159371
PIPSL	266971
PLCE1	51196
LOC100128054	100128054
NOC3L	64318
TBC1D12	23232
HELLS	3070
CYP2C18	1562
CYP2C19	1557
CYP2C9	1559
CYP2C8	1558
C10orf129	142827
PDLIM1	9124
SORBS1	10580
ALDH18A1	5832
TCTN3	26123
ENTPD1	953
LOC728558	728558
C10orf131	100127889
LOC100653119	100653119
LOC100652732	100652732
CC2D2B	387707
LOC100652735	100652735
LOC100653122	100653122
CCNJ	54619
MIR3157	100422892
ZNF518A	9849
BLNK	29760
LOC100509474	100509474
DNTT	1791
OPALIN	93377
TLL2	7093
TM9SF3	56889
PIK3AP1	118788
RPL13AP5	728658
MIR607	693192
LCOR	84458
C10orf12	26148
SLIT1	6585
LOC100505540	100505540
ARHGAP19-SLIT1	100533184
ARHGAP19	84986
FRAT1	10023
FRAT2	23401
RRP12	23223
PGAM1	5223
EXOSC1	51013
ZDHHC16	84287
MMS19	64210
UBTD1	80019
ANKRD2	26287
HOGA1	112817
C10orf62	414157
MORN4	118812
PI4K2A	55361
AVPI1	60370
MARVELD1	83742
ZFYVE27	118813
SFRP5	6425
LOC100505561	100505561
GOLGA7B	401647
CRTAC1	55118
C10orf28	27291
LOXL4	84171
PYROXD2	84795
MIR1287	100302133
HPS1	3257
MIR4685	100616482
LOC100505606	100505606
HPSE2	60495
CNNM1	26507
GOT1	2805
NKX2-3	159296
SLC25A28	81894
ENTPD7	57089
COX15	1355
CUTC	51076
ABCC2	1244
DNMBP	23268
DNMBP-AS1	100188954
CPN1	1369
ERLIN1	10613
CHUK	1147
CWF19L1	55280
SNORA12	677800
BLOC1S2	282991
PKD2L1	9033
SCD	6319
LOC100653313	100653313
LOC100652751	100652751
LINC00263	90271
WNT8B	7479
SEC31B	25956
NDUFB8	4714
HIF1AN	55662
PAX2	5076
FAM178A	55719
SEMA4G	57715
MIR608	693193
MRPL43	84545
C10orf2	56652
LZTS2	84445
PDZD7	79955
SFXN3	81855
KAZALD1	81621
TLX1NB	100038246
TLX1	3195
LOC100652756	100652756
LOC100653310	100653310
LBX1	10660
FLJ41350	399806
BTRC	8945
POLL	27343
DPCD	25911
MIR3158-1	100422900
MIR3158-2	100423033
FBXW4	6468
FGF8	2253
NPM3	10360
MGEA5	10724
LOC100289509	100289509
KCNIP2	30819
C10orf76	79591
HPS6	79803
LDB1	8861
PPRC1	23082
NOLC1	9221
ELOVL3	83401
PITX3	5309
GBF1	8729
NFKB2	4791
PSD	5662
FBXL15	79176
CUEDC2	79004
MIR146B	574447
LOC100505761	100505761
C10orf95	79946
TMEM180	79847
ACTR1A	10121
SUFU	51684
TRIM8	81603
ARL3	403
SFXN2	118980
C10orf26	54838
CYP17A1	1586
CYP17A1-AS1	414269
C10orf32	119032
C10orf32-AS3MT	100528007
AS3MT	57412
CNNM2	54805
NT5C2	22978
LOC729020	729020
INA	9118
PCGF6	84108
TAF5	6877
USMG5	84833
MIR1307	100302174
PDCD11	22984
CALHM2	51063
LOC100505820	100505820
CALHM1	255022
CALHM3	119395
NEURL	9148
SH3PXD2A	9644
LOC100505839	100505839
OBFC1	79991
SLK	9748
COL17A1	1308
MIR936	100126326
SFR1	119392
WDR96	80217
MIR609	693194
GSTO1	9446
MIR4482-1	100616323
GSTO2	119391
ITPRIP	85450
LOC100505856	100505856
LOC100505869	100505869
CCDC147	159686
SORCS3	22986
LOC100505890	100505890
SORCS1	114815
LOC100128304	100128304
XPNPEP1	7511
LOC100505933	100505933
ADD3	120
MXI1	4601
SMNDC1	10285
DUSP5	1847
SMC3	9126
RBM20	282996
LOC282997	282997
PDCD4	27250
MIR4680	100616113
BBIP1	92482
RPL13AP6	644511
SHOC2	8036
MIR548E	100313921
ADRA2A	150
GPAM	57678
TECTB	6975
GUCY2GP	390003
ACSL5	51703
ZDHHC6	64429
VTI1A	143187
MIR4295	100422909
LOC143188	143188
TCF7L2	6934
HABP2	3026
NRAP	4892
CASP7	840
C10orf81	79949
MIR4483	100616162
DCLRE1A	9937
NHLRC2	374354
ADRB1	153
C10orf118	55088
MIR2110	100302224
TDRD1	56165
VWA2	340706
AFAP1L2	84632
ABLIM1	3983
FAM160B1	57700
TRUB1	142940
ATRNL1	26033
GFRA1	2674
C10orf96	374355
PNLIPRP3	119548
PNLIP	5406
PNLIPRP1	5407
PNLIPRP2	5408
C10orf82	143379
HSPA12A	259217
ENO4	387712
KIAA1598	57698
VAX1	11023
MIR3663	100500893
KCNK18	338567
SLC18A2	6571
PDZD8	118987
EMX2OS	196047
EMX2	2018
RAB11FIP2	22841
LOC100129413	100129413
CASC2	255082
FAM204A	63877
LOC100506126	100506126
PRLHR	2834
LOC100652948	100652948
LOC100653287	100653287
C10orf46	143384
NANOS1	340719
EIF3A	8661
SNORA19	641451
FAM45A	404636
SFXN4	119559
PRDX3	10935
GRK5	2869
MIR4681	100616398
RGS10	6001
TIAL1	7073
BAG3	9531
INPP5F	22876
MCMBP	79892
SEC23IP	11196
MIR4682	100616322
PPAPDC1A	196051
C10orf85	404216
LOC283089	283089
WDR11	55717
LOC100506158	100506158
FGFR2	2263
ATE1	11101
LOC100130887	100130887
NSMCE4A	54780
TACC2	10579
BTBD16	118663
PLEKHA1	59338
MIR3941	100500866
ARMS2	387715
HTRA1	5654
DMBT1	1755
C10orf120	399814
FLJ46361	375940
CUZD1	50624
FAM24B-CUZD1	100533195
FAM24B	196792
LOC399815	399815
FAM24A	118670
C10orf88	80007
PSTK	118672
IKZF5	64376
ACADSB	36
HMX3	340784
HMX2	3167
BUB3	9184
GPR26	2849
CPXM2	119587
CHST15	51363
OAT	4942
NKX1-2	390010
LHPP	64077
LOC100506255	100506255
FAM53B	9679
LOC100506291	100506291
METTL10	399818
FAM175B	23172
ZRANB1	54764
CTBP2	1488
MIR4296	100423041
LOC100169752	100169752
C10orf122	387718
LOC283038	283038
FLJ37035	399821
C10orf137	26098
MMP21	118856
UROS	7390
MIR4484	100616327
BCCIP	56647
DHX32	55760
FANK1	92565
ADAM12	8038
C10orf90	118611
LOC728065	728065
DOCK1	1793
FAM196A	642938
NPS	594857
LOC387720	387720
FOXI2	399823
CLRN3	119467
PTPRE	5791
MKI67	4288
MGMT	4255
LOC100506006	100506006
EBF3	253738
MIR4297	100422873
LOC387723	387723
CTAGE7P	119437
GLRX3	10539
MIR378C	100422867
TCERG1L	256536
FLJ46300	399827
BNIP3	664
JAKMIP3	282973
DPYSL4	10570
STK32C	282974
LOC100506057	100506057
LRRC27	80313
PWWP2B	170394
C10orf91	170393
INPP5A	3632
NKX6-2	84504
TTC40	54777
LOC100289424	100289424
LOC399829	399829
GPR123	84435
KNDC1	85442
UTF1	8433
VENTX	27287
MIR202	574448
ADAM8	101
LOC100506167	100506167
TUBGCP2	10844
ZNF511	118472
CALY	50632
PRAP1	118471
C10orf125	282969
ECHS1	1892
MIR3944	100500911
PAOX	196743
MTG1	92170
SPRN	503542
LOC619207	619207
CYP2E1	1571
SYCE1	93426
SPRNP1	399833
FRG2B	441581
DUX1	26584
LOC652119	652119
DEFB125	245938
DEFB126	81623
DEFB127	140850
DEFB128	245939
DEFB129	140881
DEFB132	400830
C20orf96	140680
ZCCHC3	85364
LOC100507459	100507459
SOX12	6666
NRSN2	80023
TRIB3	57761
RBCK1	10616
TBC1D20	128637
CSNK2A1	1457
TCF15	6939
SRXN1	140809
SCRT2	85508
C20orf54	113278
FAM110A	83541
ANGPT4	51378
RSPO4	343637
PSMF1	9491
TMEM74B	55321
C20orf202	400831
RAD21L1	642636
SNPH	9751
SDCBP2	27111
FKBP1A-SDCBP2	100528031
LOC100507495	100507495
FKBP1A	2280
NSFL1C	55968
SIRPB2	284759
SIRPD	128646
SIRPB1	10326
LOC100653194	100653194
SIRPG	55423
LOC100289473	100289473
SIRPA	140885
PDYN	5173
STK35	140901
LOC388780	388780
TGM3	7053
TGM6	343641
SNRPB	6628
SNORD119	100113378
ZNF343	79175
TMC2	117532
